"Country"	"variable"	"value"	"Year"
"Kuwait"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	885,1	"2014"
"Kyrgyz Republic"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	53,5	"2014"
"Lao PDR"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	8,3	"2014"
"Latvia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	150,6	"2014"
"Lebanon"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	423,4	"2014"
"Lesotho"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	21,7	"2014"
"Liberia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	8,4	"2014"
"Lithuania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	425,7	"2014"
"Luxembourg"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	277,5	"2014"
"Macedonia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	110,4	"2014"
"Madagascar"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	14,3	"2014"
"Malawi"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	20,1	"2014"
"Malaysia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1323,4	"2014"
"Maldives"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	20,2	"2014"
"Mali"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	31	"2014"
"Malta"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	115,2	"2014"
"Mauritius"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	63,5	"2014"
"Mexico"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	10258,3	"2014"
"Micronesia, Fed. Sts."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4,3	"2014"
"Rep Moldova"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	123,8	"2014"
"Mongolia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	79,9	"2014"
"Montenegro"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	35,5	"2014"
"Morocco"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	888,5	"2014"
"Mozambique"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	27,4	"2014"
"Namibia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	81,4	"2014"
"Nepal"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	52,4	"2014"
"Netherlands"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	5738,4	"2014"
"New Zealand"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1625,7	"2014"
"Nicaragua"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	139,5	"2014"
"Niger"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	11,5	"2014"
"Nigeria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	961,3	"2014"
"Norway"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2483,8	"2014"
"Oman"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	477,4	"2014"
"Pakistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	442,5	"2014"
"Panama"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	447,6	"2014"
"Paraguay"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	283,5	"2014"
"Peru"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1134,3	"2014"
"Philippines"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	633,3	"2014"
"Poland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4704,3	"2014"
"Portugal"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1952	"2014"
"Qatar"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	754,8	"2014"
"Romania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1513,1	"2014"
"Russian Federation"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	20645,4	"2014"
"Rwanda"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	17,8	"2014"
"St. Lucia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	9,3	"2014"
"St. Vincent and the Grenadines"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6,6	"2014"
"Samoa"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	7,6	"2014"
"Sao Tome and Principe"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1,5	"2014"
"Saudi Arabia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6321,8	"2014"
"Senegal"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	33,8	"2014"
"Serbia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	729,5	"2014"
"Seychelles"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	5,5	"2014"
"Sierra Leone"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	28,4	"2014"
"Singapore"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	723,4	"2014"
"Slovakia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	845,4	"2014"
"Slovenia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	402,5	"2014"
"Solomon Islands"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2,4	"2014"
"South Africa"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4452	"2014"
"South Korea"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3984,8	"2014"
"Spain"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	11143	"2014"
"Sri Lanka"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	183,6	"2014"
"Sudan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	222,5	"2014"
"Suriname"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	37,4	"2014"
"Swaziland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	30,1	"2014"
"Sweden"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3485,9	"2014"
"Switzerland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3719,8	"2014"
"Tajikistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	54	"2014"
"Tanzania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	116,2	"2014"
"Thailand"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1399,1	"2014"
"Timor-Leste"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	0,9	"2014"
"Togo"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	10,5	"2014"
"Tonga"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2,8	"2014"
"Trinidad and Tobago"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	217,4	"2014"
"Tunisia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	624	"2014"
"Turkey"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6286	"2014"
"Turkmenistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	92,6	"2014"
"Uganda"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	57,5	"2014"
"Ukraine"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1900,1	"2014"
"United Arab Emirates"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2182,1	"2014"
"United Kingdom"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	19090,2	"2014"
"United States"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	325107,6	"2014"
"Uruguay"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	496,7	"2014"
"Uzbekistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	478,3	"2014"
"Vanuatu"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2,1	"2014"
"Viet Nam"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	534,1	"2014"
"Yemen, Rep."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	168,8	"2014"
"Zambia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	58,2	"2014"
"Zimbabwe"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	53,4	"2014"
"World"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	659817,8	"2014"
"Afghanistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	78,2	"2017"
"Albania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	119,7	"2017"
"Algeria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3028,3	"2017"
"Angola"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	157	"2017"
"Antigua and Barbuda"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	11	"2017"
"Argentina"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4668,5	"2017"
"Armenia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	82,5	"2017"
"Australia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	11236,7	"2017"
"Austria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3550,6	"2017"
"Azerbaijan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	864	"2017"
"Bahamas, The"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	75,2	"2017"
"Bahrain"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	312,3	"2017"
"Bangladesh"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	270,3	"2017"
"Barbados"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	30,8	"2017"
"Belarus"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	854	"2017"
"Belgium"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4189,6	"2017"
"Belize"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	13,5	"2017"
"Benin"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	25,9	"2017"
"Bhutan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6,3	"2017"
"Bolivia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	277,7	"2017"
"Bosnia and Herzegovina"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	268,4	"2017"
"Botswana"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	131,4	"2017"
"Brazil"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	21525,9	"2017"
"Brunei Darussalam"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	43,9	"2017"
"Bulgaria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	838,7	"2017"
"Burkina Faso"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	29,1	"2017"
"Burundi"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	7,8	"2017"
"Cabo Verde"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	7,6	"2017"
"Cambodia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	50,3	"2017"
"Cameroon"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	87	"2017"
"Canada"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	18627,3	"2017"
"Central African Repuplic"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1,9	"2017"
"Chad"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	19,7	"2017"
"Chile"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3424,8	"2017"
"China"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	49099,2	"2017"
"Colombia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3578,4	"2017"
"Comoros"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2	"2017"
"Congo, Rep."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	45,8	"2017"
"Costa Rica"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	637,5	"2017"
"Cote d'Ivoire"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	122,6	"2017"
"Croatia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	588,8	"2017"
"Cyprus"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	234,6	"2017"
"Czech Republic"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2073	"2017"
"Congo, Dem. Rep."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	43,9	"2017"
"Denmark"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2180,2	"2017"
"Djibouti"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	10,3	"2017"
"Dominican Republic"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	466,5	"2017"
"Ecuador"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1083,3	"2017"
"Egypt, Arab Rep."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4995	"2017"
"El Salvador"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	242,7	"2017"
"Equatorial Guinea"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	55,8	"2017"
"Estonia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	186,7	"2017"
"Ethiopia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	132,1	"2017"
"Fiji"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	28,2	"2017"
"Finland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1691,6	"2017"
"France"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	24655,5	"2017"
"Gabon"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	48,6	"2017"
"Gambia, The"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6,9	"2017"
"Georgia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	215,6	"2017"
"Germany"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	36495,8	"2017"
"Ghana"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	169,1	"2017"
"Greece"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2003,1	"2017"
"Grenada"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6,2	"2017"
"Guatemala"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	426,9	"2017"
"Guinea"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	22,1	"2017"
"Guinea-Bissau"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4,4	"2017"
"Guyana"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	22	"2017"
"Haiti"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	72,4	"2017"
"Honduras"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	206,4	"2017"
"Hungary"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1482,1	"2017"
"Iceland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	91,8	"2017"
"India"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	7286,7	"2017"
"Indonesia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2207,2	"2017"
"Iraq"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1966,1	"2017"
"Ireland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1697,3	"2017"
"Israel"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1703,3	"2017"
"Italy"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	17025,2	"2017"
"Jamaica"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	120,3	"2017"
"Japan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	12493,3	"2017"
"Jordan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	486,5	"2017"
"Kazakhstan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1589,7	"2017"
"Kenya"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	207,4	"2017"
"Kiribati"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2	"2017"
"Kuwait"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	973,8	"2017"
"Kyrgyz Republic"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	68,3	"2017"
"Lao PDR"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	8,7	"2017"
"Latvia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	166,5	"2017"
"Lebanon"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	480,1	"2017"
"Lesotho"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	32,6	"2017"
"Liberia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	12,9	"2017"
"Lithuania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	506,9	"2017"
"Luxembourg"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	326,4	"2017"
"Macedonia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	122,3	"2017"
"Madagascar"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	16,1	"2017"
"Malawi"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	31,8	"2017"
"Malaysia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1805,1	"2017"
"Maldives"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	27,3	"2017"
"Mali"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	39,8	"2017"
"Malta"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	140,1	"2017"
"Mauritius"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	84,1	"2017"
"Mexico"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	13110,8	"2017"
"Micronesia, Fed. Sts."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	5,4	"2017"
"Rep Moldova"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	149,4	"2017"
"Mongolia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	97,3	"2017"
"Montenegro"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	41,1	"2017"
"Morocco"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1160,6	"2017"
"Mozambique"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	36,8	"2017"
"Namibia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	115,2	"2017"
"Nepal"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	73,9	"2017"
"Netherlands"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	7042,6	"2017"
"New Zealand"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2145,4	"2017"
"Nicaragua"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	181,8	"2017"
"Niger"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	15,4	"2017"
"Nigeria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	954,2	"2017"
"Norway"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3055,3	"2017"
"Oman"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	548,3	"2017"
"Pakistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	553,8	"2017"
"Panama"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	611,7	"2017"
"Paraguay"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	416,4	"2017"
"Peru"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1528	"2017"
"Philippines"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	870,8	"2017"
"Poland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	5791,5	"2017"
"Portugal"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2230,9	"2017"
"Qatar"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	758	"2017"
"Romania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1844,8	"2017"
"Russian Federation"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	25920,9	"2017"
"Rwanda"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	26,5	"2017"
"St. Lucia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	12,6	"2017"
"St. Vincent and the Grenadines"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	8,5	"2017"
"Samoa"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	9,4	"2017"
"Sao Tome and Principe"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2	"2017"
"Saudi Arabia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	8173,8	"2017"
"Senegal"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	39,8	"2017"
"Serbia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	871,9	"2017"
"Seychelles"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	6,8	"2017"
"Sierra Leone"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	39,6	"2017"
"Singapore"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	940,9	"2017"
"Slovakia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1036,5	"2017"
"Slovenia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	456,8	"2017"
"Solomon Islands"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3,1	"2017"
"South Africa"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	5591,2	"2017"
"South Korea"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	5131,9	"2017"
"Spain"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	12990	"2017"
"Sri Lanka"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	230,3	"2017"
"Sudan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	346,1	"2017"
"Suriname"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	45,5	"2017"
"Swaziland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	41	"2017"
"Sweden"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4340,5	"2017"
"Switzerland"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4565,2	"2017"
"Tajikistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	73	"2017"
"Tanzania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	167,4	"2017"
"Thailand"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1826,1	"2017"
"Timor-Leste"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	1,4	"2017"
"Togo"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	13,8	"2017"
"Tonga"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2,9	"2017"
"Trinidad and Tobago"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	269,3	"2017"
"Tunisia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	825,5	"2017"
"Turkey"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	8052	"2017"
"Turkmenistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	111,5	"2017"
"Uganda"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	81,2	"2017"
"Ukraine"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2183,3	"2017"
"United Arab Emirates"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2405,5	"2017"
"United Kingdom"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	22240,9	"2017"
"United States"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	388017,3	"2017"
"Uruguay"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	582,9	"2017"
"Uzbekistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	660,9	"2017"
"Vanuatu"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	2,6	"2017"
"Viet Nam"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	751,4	"2017"
"Yemen, Rep."	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	203,6	"2017"
"Zambia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	74,1	"2017"
"Zimbabwe"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	66,7	"2017"
"World"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	802754,2	"2017"
"Afghanistan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	87,6	"2018"
"Albania"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	126,7	"2018"
"Algeria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3299,6	"2018"
"Angola"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	175,1	"2018"
"Antigua and Barbuda"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	11,7	"2018"
"Argentina"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	4977,1	"2018"
"Armenia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	86,2	"2018"
"Australia"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	11959,8	"2018"
"Austria"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	3728,8	"2018"
"Azerbaijan"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	925,1	"2018"
"Bahamas, The"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	78,9	"2018"
"Bahrain"	"Healthcare cost of consequences of high BMI (US$ Million - purchasing power parity)"	330,3	"2018"
